Timestamp,Queue,Memory,M_Bytes,M_Total,M_Ready,M_Unack,M_Rate,M_Ready Rate,M_UnAck Rate
2024-07-06 18:47:55,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:55,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:55,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:56,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:56,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:56,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:57,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:57,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:57,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:58,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:58,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:58,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:47:59,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:47:59,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:47:59,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:00,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:00,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:00,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:01,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:01,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:01,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:02,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:02,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:02,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:03,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:03,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:03,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:04,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:04,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:04,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:05,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:05,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:05,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:06,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:06,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:06,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:07,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:07,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:07,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:08,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:08,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:08,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:09,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:09,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:09,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:10,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:10,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:10,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:11,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:11,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:11,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:12,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:12,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:12,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:13,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:13,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:13,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:14,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:14,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:14,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:15,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:15,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:15,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:16,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:16,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:16,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:17,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:17,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:17,teste,15792,0,0,0,0,0,0,0
